"id","name","val/image_to_text_R@10","val/text_to_image_R@10"
"22qvyrf1","BioSentVec","0.6546146527117032","0.6681731684110371"
"1vjn1cud","BioSentVec Ablation: chart events & discharge notes","0.5406755470980019","0.5594671741198858"
"jp9qfbfk","GPT-2","0.5152235965746907","0.5176022835394862"
"1sdmlvmm","SentenceTransformer","0.43720266412940056","0.4467174119885823"
"1f41ojri","CliBERT","0.4376784015223597","0.4398192197906755"
"my58puuq","BioSentVec Ablation: no chart events, non-discharge vs discharge notes","0.4157944814462417","0.41817316841103713"
"37vxdx34","BioBERT","0.4058039961941009","0.4136536631779258"
"c9xxzg3x","PubMedBERT","0.3829686013320647","0.3836822074215034"
"3odpceo7","RoBERTa","0.3727402473834443","0.3753568030447193"
"6h7cf4pa","BERT (baseline)","0.3418173168411037","0.3427687916270219"
"jvwn3xlu","Doc2Vec","0.2797335870599429","0.3073263558515699"
"2j1shxns","BERT Ablation: chart events & discharge notes","0.2880589914367269","0.29043767840152235"
"1ohwaj5g","BERT Ablation: no chart events, non-discharge vs discharge notes","0.1296384395813511","0.12821122740247384"
"20spxnwl","BioELECTRA","0.10252140818268315","0.09086584205518554"
"1htd9frv","LSTMCNN+Transformer","0.00406871609403255","0.0024864376130198916"
