"id","name","val/image_to_text_mean_rank","val/text_to_image_mean_rank"
"22qvyrf1","BioSentVec","30.98905803996194","30.141294005708847"
"1vjn1cud","BioSentVec Ablation: chart events & discharge notes","53.0535204567079","49.600142721217885"
"jp9qfbfk","GPT-2","54.389628924833495","54.17816365366318"
"1sdmlvmm","SentenceTransformer","76.60061845861085","76.38106565176022"
"1f41ojri","CliBERT","73.38796384395813","71.85608943862988"
"my58puuq","BioSentVec Ablation: no chart events, non-discharge vs discharge notes","191.66127497621312","172.53568030447192"
"37vxdx34","BioBERT","85.40960989533778","87.4210275927688"
"c9xxzg3x","PubMedBERT","96.07040913415794","99.06493815413891"
"3odpceo7","RoBERTa","93.63510941960038","99.65366317792578"
"6h7cf4pa","BERT (baseline)","121.6755470980019","121.436013320647"
"jvwn3xlu","Doc2Vec","122.0442435775452","116.9476688867745"
"2j1shxns","BERT Ablation: chart events & discharge notes","160.81826831588964","162.55970504281638"
"1ohwaj5g","BERT Ablation: no chart events, non-discharge vs discharge notes","436.11893434823975","417.84966698382493"
"20spxnwl","BioELECTRA","341.9650333016175","368.42364414843007"
"1htd9frv","LSTMCNN+Transformer","2204.7561030741413","2205.7136075949365"
